,freq
2014-04-05,1
2014-03-27,1
2014-03-15,1
2014-03-10,1
2014-02-20,1
2014-01-02,1
2013-12-13,1
2013-10-28,1
2013-08-12,1
2013-08-07,4
2013-06-17,1
2013-06-12,1
2013-02-17,1
2012-11-09,1
2012-10-04,1
2012-08-04,1
2011-09-13,1
2010-07-18,1
